feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.8175046554934824,0.850091407678245,155,val,classification
0.8374596340150701,0.8337028824833703,155,test,classification
0.8737327188940093,0.8823529411764705,156,train,classification
0.8177697189483226,0.850091407678245,156,val,classification
0.8367567567567569,0.8346281908990012,156,test,classification
0.8592730661696178,0.8805147058823529,157,train,classification
0.8230980751604032,0.8503649635036495,157,val,classification
0.8401727861771058,0.8431590656284762,157,test,classification
0.8568773234200744,0.8815426997245179,158,train,classification
0.8238532110091742,0.854014598540146,158,val,classification
0.8370607028753994,0.8457269700332964,158,test,classification
0.8592730661696178,0.8815426997245179,159,train,classification
0.82277318640955,0.8532360984503189,159,val,classification
0.8217716115261473,0.8457269700332964,159,test,classification
0.8692449355432782,0.8813247470101195,160,train,classification
0.8296703296703298,0.8542805100182149,160,val,classification
0.831896551724138,0.8403547671840355,160,test,classification
0.8735213830755231,0.8821362799263351,161,train,classification
0.8262476894639555,0.8535031847133757,161,val,classification
0.8475675675675676,0.8407079646017699,161,test,classification
0.8713235294117646,0.8819188191881919,162,train,classification
0.8244972577696528,0.8532360984503189,162,val,classification
0.8354430379746836,0.8419889502762431,162,test,classification
0.8736059479553903,0.8858195211786372,163,train,classification
0.8280961182994454,0.8484848484848485,163,val,classification
0.8295819935691319,0.8492239467849224,163,test,classification
0.8655616942909761,0.8854262144821264,164,train,classification
0.8382352941176472,0.8461538461538461,164,val,classification
0.8301075268817205,0.8479467258601554,164,test,classification
0.8703703703703703,0.8841911764705882,165,train,classification
0.8233117483811285,0.845662100456621,165,val,classification
0.843918191603875,0.8501664816870144,165,test,classification
0.8678899082568808,0.8841911764705882,166,train,classification
0.8187672493100276,0.8461538461538461,166,val,classification
0.835978835978836,0.8501664816870144,166,test,classification
0.8771929824561404,0.8815426997245179,167,train,classification
0.8261269549218032,0.8482632541133455,167,val,classification
0.8401727861771058,0.8501664816870144,167,test,classification
0.8710865561694292,0.8815426997245179,168,train,classification
0.8139963167587476,0.8493150684931506,168,val,classification
0.8449197860962567,0.8501664816870144,168,test,classification
0.8663003663003662,0.8823529411764705,169,train,classification
0.8235294117647058,0.8462238398544132,169,val,classification
0.8381564844587353,0.8412874583795782,169,test,classification
0.8782287822878229,0.8829493087557604,170,train,classification
0.8224471021159153,0.8438356164383563,170,val,classification
0.8409818569903948,0.8453837597330367,170,test,classification
0.8674033149171271,0.8835489833641405,171,train,classification
0.8142726440988106,0.8420091324200913,171,val,classification
0.8317046688382194,0.8450390189520625,171,test,classification
0.8797061524334251,0.8829493087557604,172,train,classification
0.8251618871415356,0.8415300546448089,172,val,classification
0.8415417558886509,0.844097995545657,172,test,classification
0.8770642201834862,0.8811059907834101,173,train,classification
0.822550831792976,0.8435498627630375,173,val,classification
0.8390557939914163,0.8457269700332964,173,test,classification
0.8732654949121185,0.8792626728110599,174,train,classification
