score,number_of_features,data_set,model_type
0.9134001823154057,162,train,classification
0.8194317140238313,162,val,classification
0.8343949044585988,162,test,classification
0.9115770282588879,163,train,classification
0.8190127970749543,163,val,classification
0.8356309650053022,163,test,classification
0.911764705882353,164,train,classification
0.8226691042047534,164,val,classification
0.8411016949152543,164,test,classification
0.911764705882353,165,train,classification
0.8226691042047534,165,val,classification
0.8411016949152543,165,test,classification
0.9109274563820019,166,train,classification
0.8208409506398539,166,val,classification
0.8402116402116403,166,test,classification
0.9097605893186004,167,train,classification
0.8191881918819188,167,val,classification
0.8453389830508475,167,test,classification
0.9144434222631094,168,train,classification
0.8187672493100276,168,val,classification
0.8480340063761955,168,test,classification
0.9144434222631094,169,train,classification
0.8180147058823529,169,val,classification
0.8480340063761955,169,test,classification
0.9144434222631094,170,train,classification
0.8187672493100276,170,val,classification
0.8504772004241782,170,test,classification
0.9181232750689973,171,train,classification
0.8199445983379501,171,val,classification
0.8492569002123141,171,test,classification
0.9167429094236048,172,train,classification
0.8181818181818181,172,val,classification
0.8481012658227848,172,test,classification
0.9212454212454213,173,train,classification
0.8148148148148148,173,val,classification
0.848356309650053,173,test,classification
0.9211009174311926,174,train,classification
0.8140610545790934,174,val,classification
0.848356309650053,174,test,classification
0.9204025617566332,175,train,classification
0.8133086876155268,175,val,classification
0.8474576271186439,175,test,classification
0.918423464711274,176,train,classification
0.8126159554730984,176,val,classification
0.8504772004241782,176,test,classification
0.9204025617566332,177,train,classification
0.8126159554730984,177,val,classification
0.851063829787234,177,test,classification
0.9195612431444242,178,train,classification
0.8177613320999075,178,val,classification
0.8477103301384452,178,test,classification
0.9195612431444242,179,train,classification
0.8144712430426716,179,val,classification
0.8446808510638297,179,test,classification
0.9195612431444242,180,train,classification
0.8144712430426716,180,val,classification
0.8446808510638297,180,test,classification
0.9204025617566332,181,train,classification
0.8136531365313653,181,val,classification
0.8477103301384452,181,test,classification
0.9267399267399268,182,train,classification
0.81371640407785,182,val,classification
0.8381564844587353,182,test,classification
0.9304029304029304,183,train,classification
0.8179271708683473,183,val,classification
0.8322580645161289,183,test,classification
0.923923006416132,184,train,classification
0.8189415041782729,184,val,classification
0.8372591006423984,184,test,classification
0.923076923076923,185,train,classification
0.819366852886406,185,val,classification
0.8369098712446352,185,test,classification
0.9237832874196511,186,train,classification
0.8178438661710038,186,val,classification
0.8378088077336198,186,test,classification
0.9277218664226898,187,train,classification
0.8167441860465117,187,val,classification
0.832618025751073,187,test,classification
0.9284403669724771,188,train,classification
0.8141923436041083,188,val,classification
0.8297413793103449,188,test,classification
0.9302752293577982,189,train,classification
0.8149532710280374,189,val,classification
0.8281081081081082,189,test,classification
0.9284403669724771,190,train,classification
0.8160597572362277,190,val,classification
0.8290043290043291,190,test,classification
0.9267399267399268,191,train,classification
0.8148837209302326,191,val,classification
0.8297413793103449,191,test,classification
0.9267399267399268,192,train,classification
0.8148837209302326,192,val,classification
0.8297413793103449,192,test,classification
0.9312557286892759,193,train,classification
0.8123249299719889,193,val,classification
0.8313641245972072,193,test,classification
0.925756186984418,194,train,classification
0.8149532710280374,194,val,classification
0.8344086021505377,194,test,classification
0.9294225481209899,195,train,classification
0.8119738072965389,195,val,classification
0.8353067814854682,195,test,classification
0.9302752293577982,196,train,classification
0.8123827392120075,196,val,classification
0.8365591397849463,196,test,classification
0.9345622119815669,197,train,classification
0.8108614232209739,197,val,classification
0.8374596340150701,197,test,classification
0.9287696577243293,198,train,classification
0.805243445692884,198,val,classification
0.8315334773218143,198,test,classification
0.9317343173431735,199,train,classification
0.8063610851262862,199,val,classification
0.8299024918743229,199,test,classification
0.929889298892989,200,train,classification
0.8100558659217878,200,val,classification
0.8257080610021786,200,test,classification
0.9290322580645162,201,train,classification
0.8078358208955223,201,val,classification
0.8280394304490689,201,test,classification
0.9318600368324125,202,train,classification
0.8093023255813954,202,val,classification
0.8287895310796075,202,test,classification
0.9316081330868761,203,train,classification
0.8111627906976745,203,val,classification
0.8302300109529026,203,test,classification
0.9304911955514366,204,train,classification
0.8081936685288641,204,val,classification
0.8300653594771242,204,test,classification
0.9304911955514366,205,train,classification
0.8081936685288641,205,val,classification
0.8300653594771242,205,test,classification
0.9306197964847363,206,train,classification
0.8059701492537313,206,val,classification
0.8335146898803047,206,test,classification
0.9316081330868761,207,train,classification
0.8078358208955223,207,val,classification
0.8313384113166485,207,test,classification
0.9296296296296296,208,train,classification
0.8074418604651162,208,val,classification
0.8349726775956283,208,test,classification
0.9296296296296296,209,train,classification
0.8074418604651162,209,val,classification
0.8344226579520697,209,test,classification
0.9340761374187557,210,train,classification
0.8048552754435108,210,val,classification
0.8346111719605696,210,test,classification
0.9341983317886932,211,train,classification
0.804490177736202,211,val,classification
0.8309705561613959,211,test,classification
0.937037037037037,212,train,classification
0.8048780487804877,212,val,classification
0.8293216630196937,212,test,classification
0.935933147632312,213,train,classification
0.8078725398313028,213,val,classification
0.8269858541893362,213,test,classification
0.9368029739776952,214,train,classification
0.8105065666041276,214,val,classification
0.8293216630196937,214,test,classification
0.9341983317886932,215,train,classification
0.8157156220767072,215,val,classification
0.8300653594771242,215,test,classification
0.9377901578458682,216,train,classification
0.8075471698113207,216,val,classification
0.8227571115973742,216,test,classification
0.9377901578458682,217,train,classification
0.8113744075829383,217,val,classification
0.8351648351648352,217,test,classification
0.9404096834264433,218,train,classification
0.8172446110590441,218,val,classification
0.8285714285714285,218,test,classification
